unit_id,standard_id,standard_name,standard_type,disclosure_id,disclosure_name,requirement_id,requirement_text,requirement_type,is_omittable,year,hierarchy_level,parent_requirement
GRI102-2025-D102-3-Rd-i,GRI 102,Climate Change,topic,102-3,Just transition,d.i,"report the total number of employees who received training for up- and re-skilling, and a breakdown of this total by: gender;",shall,True,2025,2,d
GRI102-2025-D102-3-Rd-ii,GRI 102,Climate Change,topic,102-3,Just transition,d.ii,"report the total number of employees who received training for up- and re-skilling, and a breakdown of this total by: employee type;",shall,True,2025,2,d
GRI102-2025-D102-3-Re,GRI 102,Climate Change,topic,102-3,Just transition,e,report the total number of new workers who are not employees recruited and a breakdown of this total by gender;,shall,True,2025,1,
GRI102-2025-D102-3-Rf,GRI 102,Climate Change,topic,102-3,Just transition,f,report the total number of workers who are not employees whose work was terminated and a breakdown of this total by gender;,shall,True,2025,1,
GRI102-2025-D102-3-Rg,GRI 102,Climate Change,topic,102-3,Just transition,g,"report the total number and percentage of new employees recruited whose basic pay is at or above the cost-of-living estimate, and describe actions taken or commitments made to address any gaps between basic pay and the cost-of-living estimate for workers reported under 102-3-a and 102-3-e;",shall,True,2025,1,
GRI102-2025-D102-3-Rh-i,GRI 102,Climate Change,topic,102-3,Just transition,h.i,list the locations of operation where the organization has impacts on local communities and Indigenous Peoples: report the percentage of locations of operation listed under 102-3-h in which an agreement has been reached with affected or potentially affected local communities or Indigenous Peoples to safeguard their interests;,shall,True,2025,2,h
GRI102-2025-D102-3-Rj-i,GRI 102,Climate Change,topic,102-3,Just transition,j.i,"report contextual information necessary to understand the data reported under 102-3 and describe the methodologies and assumptions used to compile the data, including whether the numbers are reported: in head count, full-time equivalent (FTE), or using another methodology;",shall,True,2025,2,j
GRI102-2025-D102-3-Rj-ii,GRI 102,Climate Change,topic,102-3,Just transition,j.ii,"report contextual information necessary to understand the data reported under 102-3 and describe the methodologies and assumptions used to compile the data, including whether the numbers are reported: at the end of the reporting period, as an average across the reporting period, or using another methodology.",shall,True,2025,2,j
GRI102-2025-D102-4-Ra-i,GRI 102,Climate Change,topic,102-4,GHG emissions reduction targets and progress,a.i,"report short-, medium-, and long-term gross Scope 1, Scope 2, and Scope 3 GHG emissions reduction targets in metric tons of CO₂ equivalent and as a percentage of base year emissions, where: gross Scope 1, Scope 2, and Scope 3 GHG emissions reduction targets are reported separately or where Scope 1 and Scope 2 GHG emissions are combined;",shall,True,2025,2,a
GRI102-2025-D102-4-Ra-ii,GRI 102,Climate Change,topic,102-4,GHG emissions reduction targets and progress,a.ii,"report short-, medium-, and long-term gross Scope 1, Scope 2, and Scope 3 GHG emissions reduction targets in metric tons of CO₂ equivalent and as a percentage of base year emissions, where: gross Scope 1 and Scope 2 GHG emissions reduction targets cover the total Scope 1 and Scope 2 GHG emissions reported under Disclosures 102-5 and 102-6;",shall,True,2025,2,a
