Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
"Health, Safety & Security of People",GRI 3: Material Topics 2021,3-3 Management of material topics,"Page 30-33: Health, Safety & Security of People",,,,11.9.1
"Health, Safety & Security of People",GRI 403: Occupational Health and Safety 2018,403-1 Occupational health and safety management system,"Page 30-33: Health, Safety & Security of People",,,,11.9.2
"Health, Safety & Security of People",GRI 403: Occupational Health and Safety 2018,"403-2 Hazard identification, risk assessment, and incident investigation","Page 30-33: Health, Safety & Security of People",,,,11.9.3
"Health, Safety & Security of People",GRI 403: Occupational Health and Safety 2018,403-3 Occupational health services,"Page 30-33: Health, Safety & Security of People",,,,11.9.4
"Health, Safety & Security of People",GRI 403: Occupational Health and Safety 2018,"403-4 Worker participation, consultation, and communication on occupational health and safety","Page 30-33: Health, Safety & Security of People",,,,11.9.5
"Health, Safety & Security of People",GRI 403: Occupational Health and Safety 2018,403-5 Worker training on occupational health and safety,"Page 30-33: Health, Safety & Security of People; Page 83: Performance Data (2021-2023)",,,,11.9.6
"Health, Safety & Security of People",GRI 403: Occupational Health and Safety 2018,403-6 Promotion of worker health,"Page 30-33: Health, Safety & Security of People",,,,11.9.7
"Health, Safety & Security of People",GRI 403: Occupational Health and Safety 2018,403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,"Page 30-33: Health, Safety & Security of People",,,,11.9.8
"Health, Safety & Security of People",GRI 403: Occupational Health and Safety 2018,403-8 Workers covered by an occupational health and safety management system,"Page 30-33: Health, Safety & Security of People",,,,11.9.9
"Health, Safety & Security of People",GRI 403: Occupational Health and Safety 2018,403-9 Work-related injuries,"Page 30-33: Health, Safety & Security of People",,,,11.9.10
"Health, Safety & Security of People",GRI 403: Occupational Health and Safety 2018,403-10 Work-related ill health,"Page 33: Health, Safety & Security of People",,,,11.9.11
Talent Building & Retention,GRI 3: Material Topics 2021,3-3 Management of material topics,"Page 36-37: Talent Building & Retention, National Talent Enhancement",,,,11.10.1
Talent Building & Retention,GRI 402: Labor/Management Relations 2016,402-1 Minimum notice periods regarding operational changes,,,Confidentiality constraints,Due to concerns about sensitive business decisions that could impact workforce stability or competitive positioning.,11.10.5
