Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
Responding to Climate Change: Adaptation and Mitigation,GRI 305: Emissions 2016,305-5 Reduction of GHG emissions,,Yes,Not applicable,"This is considered not applicable, as the Group has not incurred any reductions during the reporting years.",11.2.3
Responding to Climate Change: Adaptation and Mitigation,GRI 305: Emissions 2016,305-6 Emissions of ozone-depleting substances (ODS),,Yes,Not applicable,"This disclosure is not applicable, as the subject matter does not align with the nature of the Group's operations and is therefore not relevant to its business activities.",
Responding to Climate Change: Adaptation and Mitigation,GRI 305: Emissions 2016,"305-7 Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",,Yes,Not available,,11.3.2
Enhancing Waste Management and Promoting Circularity,GRI 3: Material Topics 2021,3-3 Management of material topics,Enhancing Waste Management and Promoting Circularity; p. 53,,,,11.5.1
Enhancing Waste Management and Promoting Circularity,GRI 306: Waste 2020,306-1 Waste generation and significant waste-related impacts,Enhancing Waste Management and Promoting Circularity; p. 54,,,,11.5.2
Enhancing Waste Management and Promoting Circularity,GRI 306: Waste 2020,306-2 Management of significant waste-related impacts,Enhancing Waste Management and Promoting Circularity; p. 55,,,,11.5.3
Enhancing Waste Management and Promoting Circularity,GRI 306: Waste 2020,306-3 Waste generated,Appendix I - GRI Tables: GRI 306.3 Waste generated; p. 132,,,,11.5.4
Enhancing Waste Management and Promoting Circularity,GRI 306: Waste 2020,306-4 Waste diverted from disposal,Appendix I - GRI Tables: GRI 306.4 Waste diverted from disposal; p. 134,,,,11.5.5
Enhancing Waste Management and Promoting Circularity,GRI 306: Waste 2020,306-5 Waste directed to disposal,Appendix I - GRI Tables: GRI 306.5 Waste directed to disposal; p. 136,,,,11.5.6
Caring for our people,GRI 3: Material Topics 2021,3-3 Management of material topics,Caring for people; p. 66,,,,11.10.1
